Date,Product,Quantity,Cash,Card,QR,Bajaj,Total,date
13-11-2022 15:01,KIDS WATCHES,1,0,0,380,0,380,13/11/2022
13-11-2022 15:20,KIDS WATCH,1,0,0,380,0,380,13/11/2022
13-11-2022 16:52,FIRE BOLT,1,1800,0,0,0,1800,13/11/2022
13-11-2022 16:53,TITAN G SL,1,3700,0,0,0,3700,13/11/2022
13-11-2022 18:11,CRONOUS G SL,1,0,0,1395,0,1395,13/11/2022
13-11-2022 19:21,FIRE BOLT,1,0,0,2800,0,2800,13/11/2022
14-11-2022 13:53,FASTRACK G SL,1,3090,0,0,0,3090,14/11/2022
14-11-2022 17:05,FASTRACK REFLEX HELLOBLACK,1,4000,0,0,0,4000,14/11/2022
14-11-2022 18:42,TITAN RAGA,1,7000,0,0,0,7000,14/11/2022
15-11-2022 14:01:43,FASTRACK REFLX HELLO BLACK,1,4000,0,0,0,4000,15/11/2022
15-11-2022 21:15:31,FIRE BOLT RING 3,1,0,0,3000,0,3000,15/11/2022
16-11-2022 11:31:06,FASTRACK G SM,1,0,0,3200,0,3200,16/11/2022
16-11-2022 18:28:57,TITAN L SM,1,0,0,2400,0,2400,16/11/2022
